board_pos,w_safety,b_safety,w_central,b_central,w_rating,b_rating,turn,square_0,square_1,square_2,square_3,square_4,square_5,square_6,square_7,square_8,square_9,square_10,square_11,square_12,square_13,square_14,square_15,square_16,square_17,square_18,square_19,square_20,square_21,square_22,square_23,square_24,square_25,square_26,square_27,square_28,square_29,square_30,square_31,square_32,square_33,square_34,square_35,square_36,square_37,square_38,square_39,square_40,square_41,square_42,square_43,square_44,square_45,square_46,square_47,square_48,square_49,square_50,square_51,square_52,square_53,square_54,square_55,square_56,square_57,square_58,square_59,square_60,square_61,square_62,square_63,1,2,3,4,5,6,7,8,a,b,c,d,e,f,g,h,columns_moved,ranks_moved,promote_q,promote_r,promote_b,promote_n
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,5,4,5,5,2266,2089,1,2,0,4,5,6,4,0,2,1,1,1,1,0,1,1,1,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,10,0,7,0,0,0,0,0,0,7,0,9,0,0,7,7,7,0,0,7,7,7,8,9,10,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
r1b2rk1/5ppp/p1nqpn2/1p1p4/3P4/P1NB1N2/1PP2PPP/R2QR1K1 w - - 0 12,1,1,5,5,1561,1443,0,2,0,4,0,0,2,6,0,0,0,0,0,0,1,1,1,1,0,3,5,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,7,0,9,10,0,9,0,0,0,7,7,0,0,7,7,7,8,0,0,11,8,0,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0
6k1/3p1ppp/1pb2n2/4p3/1p2PP2/3P4/1PKN2PP/q2R3R b - - 3 23,13,1,4,4,907,821,1,0,0,0,0,0,0,6,0,0,0,0,1,0,1,1,1,0,1,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,7,12,9,0,0,7,7,5,0,0,8,0,0,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1r2kb1r/pp1q1ppp/4p3/2pp1b2/3P4/2P1PN2/PP3PPP/RN1QK2R w KQk - 0 9,5,5,3,4,1926,1967,0,0,2,0,0,6,4,0,2,1,1,0,5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,4,0,0,0,0,0,7,0,0,0,0,0,0,7,0,7,9,0,0,7,7,0,0,0,7,7,7,8,9,0,11,12,0,0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,4,4,2,2,1216,1227,0,2,3,4,5,6,4,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,7,7,7,8,9,10,11,12,10,9,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,0.0,0.0,0.0,0.0
rnbqkb1r/1p1p1ppp/p4n2/4p3/4P3/3B1N2/PPP2PPP/RNBQK2R b KQkq - 1 6,10,4,5,4,1601,1683,1,2,3,4,5,6,4,0,2,0,1,0,1,0,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,9,0,0,7,7,7,0,0,7,7,7,8,9,10,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
r1bq1rk1/ppp2ppp/2n1pn2/3p4/3P4/3BP3/PPPQ1PPP/RN2K1NR w KQ - 1 8,5,1,4,5,772,674,0,2,0,4,5,0,2,6,0,1,1,1,0,0,1,1,1,0,0,3,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,10,7,0,0,0,7,7,7,11,0,7,7,7,8,9,0,0,12,0,9,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0
r1bqk2r/pppp1ppp/5n2/4p3/2BbP3/P2P3P/1PP2PP1/RNBQK2R b KQkq - 0 7,5,4,3,6,1267,1261,1,2,0,4,5,6,0,0,2,1,1,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,10,4,7,0,0,0,7,0,0,7,0,0,0,7,0,7,7,0,0,7,7,0,8,9,10,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
8/8/5p2/8/R2k1qp1/5P2/5K2/8 b - - 3 45,13,19,2,5,1180,1143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,5,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
r4rk1/1pR2pp1/1pb4p/3p4/8/P3P3/1P2BPPP/3R2K1 b - - 3 23,1,2,2,3,1981,2022,1,2,0,0,0,0,2,6,0,0,1,8,0,0,1,1,0,0,1,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,7,0,0,10,7,7,7,0,0,0,8,0,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
