board_pos,w_safety,b_safety,w_central,b_central,w_rating,b_rating,turn,square_0,square_1,square_2,square_3,square_4,square_5,square_6,square_7,square_8,square_9,square_10,square_11,square_12,square_13,square_14,square_15,square_16,square_17,square_18,square_19,square_20,square_21,square_22,square_23,square_24,square_25,square_26,square_27,square_28,square_29,square_30,square_31,square_32,square_33,square_34,square_35,square_36,square_37,square_38,square_39,square_40,square_41,square_42,square_43,square_44,square_45,square_46,square_47,square_48,square_49,square_50,square_51,square_52,square_53,square_54,square_55,square_56,square_57,square_58,square_59,square_60,square_61,square_62,square_63,1,2,3,4,5,6,7,8,a,b,c,d,e,f,g,h,columns_moved,ranks_moved,promote_q,promote_r,promote_b,promote_n
rn1qkbnr/ppp1pppp/8/3p4/2PP4/4P3/PP3PPP/RbBQKBNR w KQkq - 0 4,5,4,4,3,1676,1710,0,2,3,0,5,6,4,3,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,7,0,0,0,7,7,0,0,0,7,7,7,8,4,10,11,12,10,9,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r1bq1rk1/pp2b1pp/2pp2p1/3P1P1n/4Pp1P/2NB1N2/PPPQ4/2KR3R w - - 0 16,7,7,6,2,1430,1407,0,2,0,4,5,0,2,6,0,1,1,0,0,4,0,1,1,0,0,1,1,0,0,1,0,0,0,0,7,0,7,0,3,0,0,0,0,7,1,0,7,0,0,9,10,0,9,0,0,7,7,7,11,0,0,0,0,0,0,12,8,0,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4r1k1/1pp2ppp/p1p5/4r1P1/4b2P/PP1P4/R1P5/4QK2 w - - 0 24,19,1,1,5,990,967,0,0,0,0,0,2,0,6,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,4,0,0,7,7,7,0,7,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,11,12,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2r3k1/3q2bp/4p1p1/5r2/1p1P1PQB/2P1R3/1P5P/5RK1 w - - 0 27,10,8,4,3,2301,2263,0,0,0,2,0,0,0,6,0,0,0,0,5,0,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,7,0,7,11,10,0,0,7,0,8,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,8,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,4,4,4,2,926,960,1,2,3,4,5,6,4,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,7,7,7,7,0,7,7,7,8,9,10,11,12,10,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0
r3k2r/1pp2pp1/p2b2qp/5P2/3QP1n1/1NP5/PP5P/R1B2R1K b kq - 0 17,7,13,6,1,1496,1464,1,2,0,0,0,6,0,0,2,0,1,1,0,0,1,1,0,1,0,0,4,0,0,5,1,0,0,0,0,0,7,0,0,0,0,0,11,7,0,3,0,0,9,7,0,0,0,0,0,7,7,0,0,0,0,0,7,8,0,10,0,0,8,0,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0
4kbnr/r1qb1ppp/ppn1p3/1B6/Q3PB2/2N2NP1/P1P2P1P/1R2K2R b Kk - 2 12,10,8,5,3,2005,1967,1,0,0,0,0,6,4,3,2,2,0,5,4,0,1,1,1,1,1,3,0,1,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,7,10,0,0,0,0,9,0,0,9,7,0,7,0,7,0,0,7,0,7,0,8,0,0,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2kr1bnr/pppq2pp/4p3/3P4/1N6/3PBQ2/PPP3PP/R4RK1 b - - 0 16,7,7,4,1,1607,1606,1,0,0,6,2,0,4,3,2,1,1,1,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,10,11,0,0,7,7,7,0,0,0,7,7,8,0,0,0,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0
3r1rk1/pp1n1ppp/4pn2/2b5/8/1P2PN2/PB2KPPP/RN5R b - - 4 12,13,1,2,4,1832,1828,1,0,0,0,2,0,2,6,0,1,1,0,3,0,1,1,1,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,9,0,0,7,10,0,0,12,7,7,7,8,9,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
r1bqk2r/ppp2ppp/1nnb4/1Q6/8/2P2N2/P4PPP/RNB1KB1R w KQkq - 0 10,13,13,3,3,1500,1518,0,2,0,4,5,6,0,0,2,1,1,1,0,0,1,1,1,0,3,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,7,0,0,0,0,7,7,7,8,9,10,0,12,10,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
rnbqk1nr/pppp1ppp/8/2b1p3/3PP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 4,7,4,5,2,1023,1178,1,2,3,4,5,6,0,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,7,7,0,0,0,0,0,7,0,0,0,0,0,7,7,0,0,0,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
rnbq1rk1/pp2b1pp/2p1pn2/3pNp2/3P1P2/3BP3/PPP3PP/RNBQ1RK1 w - - 3 8,4,4,5,3,1591,1594,0,2,3,4,5,0,2,6,0,1,1,0,0,4,0,1,1,0,0,1,0,1,3,0,0,0,0,0,1,9,1,0,0,0,0,0,7,0,7,0,0,0,0,0,10,7,0,0,0,7,7,7,0,0,0,7,7,8,9,10,11,0,8,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
8/2Q3k1/2B2pp1/4pb2/2pq4/7P/6PK/8 b - - 3 43,7,7,3,6,1856,1845,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,0,10,0,0,1,1,0,0,0,0,0,1,4,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0
r3k2r/1pp2ppp/p1n2n2/2bqp3/6b1/3P1NP1/PPPN1PBP/R1BQR1K1 b kq - 3 9,2,10,3,6,1748,1742,1,2,0,0,0,6,0,0,2,0,1,1,0,0,1,1,1,1,0,3,0,0,3,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,9,7,0,7,7,7,9,0,7,10,7,8,0,10,11,8,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
rn1q1rk1/2pbbppp/3p1n2/pB6/3PP3/2N2N2/PP3PPP/R1BQR1K1 b - - 0 10,1,1,6,3,1675,1628,1,2,3,0,5,0,2,6,0,0,0,1,4,4,1,1,1,0,0,0,1,0,3,0,0,1,10,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,9,0,0,9,0,0,7,7,0,0,0,7,7,7,8,0,10,11,8,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
r1b2rk1/pp2bpp1/1qn1pn1p/3p4/2Pp3B/1PNBPN2/P4PPP/2RQK2R w K - 0 11,8,2,4,6,1804,1767,0,2,0,4,0,0,2,6,0,1,1,0,0,4,1,1,0,0,5,3,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,7,1,0,0,0,10,0,7,9,10,7,9,0,0,7,0,0,0,0,7,7,7,0,0,8,11,12,0,0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
rn1qkb1r/pbppp2p/1p6/5PQp/8/3P4/PPP2PPP/RNB1K1NR b KQkq - 1 8,8,7,1,2,1180,1163,1,2,3,0,5,6,4,0,2,1,4,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,11,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,7,7,0,0,7,7,7,8,9,10,0,12,0,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
rnbqk2r/ppp2pb1/3pp1pp/8/3PP3/2NBQN1P/PPP2PP1/R3K2R b KQkq - 0 9,7,3,6,3,1538,1537,1,2,3,4,5,6,0,0,2,1,1,1,0,0,1,4,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,9,10,11,9,0,7,7,7,7,0,0,7,7,0,8,0,0,0,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
r2qk1nr/pbpnbp2/1p1pp3/8/P2P2p1/2P1PN2/1P2BPPB/RN1Q1RK1 w kq - 0 12,7,3,3,3,1990,1926,0,2,0,0,5,6,0,3,2,1,4,1,3,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,1,0,0,0,7,0,7,9,0,0,0,7,0,0,10,7,7,10,8,9,0,11,0,8,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0
r2q1rk1/2pb1ppp/p1n1pn2/1p6/1PBP4/P1B1PN2/5PPP/R2Q1RK1 w - - 0 12,1,1,4,4,1829,1834,0,2,0,0,5,0,2,6,0,0,0,1,4,0,1,1,1,1,0,3,0,1,3,0,0,0,1,0,0,0,0,0,0,0,7,10,7,0,0,0,0,7,0,10,0,7,9,0,0,0,0,0,0,0,7,7,7,8,0,0,11,0,8,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0
7k/1p4p1/7p/3R1r2/4p1q1/2P1Q2P/PP3PP1/6K1 b - - 0 31,2,2,4,4,1910,1923,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,0,1,0,5,0,0,0,7,0,11,0,0,7,7,7,0,0,0,7,7,0,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0
b1r3k1/5ppp/p7/8/8/P2q1PB1/1P5P/R5RK b - - 1 30,7,1,2,3,2088,2073,1,4,0,2,0,0,0,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,7,10,0,0,7,0,0,0,0,0,7,8,0,0,0,0,0,8,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
rnbq1rk1/pp2bppp/5n2/3p2B1/3N4/2N1P3/PP2BPPP/R2QK2R b KQ - 0 9,8,1,4,3,1669,1664,1,2,3,4,5,0,2,6,0,1,1,0,0,4,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,10,0,0,0,0,9,0,0,0,0,0,0,9,0,7,0,0,0,7,7,0,0,10,7,7,7,8,0,0,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
rnbqr1k1/pp2bpp1/2p1pn1p/3p4/3P2P1/P1N1P2P/1PPBNP2/R2QKB1R w KQ - 1 9,5,2,5,3,1519,1521,0,2,3,4,5,2,0,6,0,1,1,0,0,4,1,1,0,0,0,1,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,7,0,7,0,9,0,7,0,0,7,0,7,7,10,9,7,0,0,8,0,0,11,12,10,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
rn1qkbnr/1bpp1pp1/p3p2p/8/1p1PP3/P2B1N2/1PPN1PPP/R1BQK2R w KQkq - 0 7,7,2,6,2,1439,1417,0,2,3,0,5,6,4,3,2,0,4,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7,7,0,0,0,7,0,0,10,0,9,0,0,0,7,7,9,0,7,7,7,8,0,10,11,12,0,0,8,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3rk3/1p4p1/2pb4/p4P2/P3b1P1/2P3K1/4rB2/R7 w - - 3 30,8,19,1,4,713,739,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,7,0,0,7,0,0,0,4,0,7,0,0,0,7,0,0,0,12,0,0,0,0,0,2,10,0,0,8,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppp1ppp/8/4N3/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 2,1,7,1,0,1455,1647,1,2,3,4,5,6,4,3,2,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,8,9,10,11,12,10,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,4,4,5,4,992,924,1,2,3,4,5,6,4,0,2,1,1,1,1,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,9,0,0,7,7,7,7,0,7,7,7,8,0,10,11,12,10,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
r1bqk2r/ppp2ppp/2n1p3/4P3/2BPn3/2P2N2/P1Q2PPP/R1B1K2R b KQkq - 2 9,10,8,6,4,1306,1292,1,2,0,4,5,6,0,0,2,1,1,1,0,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,10,7,3,0,0,0,0,0,7,0,0,9,0,0,7,0,11,0,0,7,7,7,8,0,10,0,12,0,0,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0
rn1qkbnr/ppp2ppp/4p3/3p1b2/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,1,5,2,3,1697,1683,0,2,3,0,5,6,4,3,2,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,7,7,7,7,7,7,10,7,8,9,10,11,12,0,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
r1bqkbnr/ppp1pppp/2n5/3p4/8/1P4P1/PBPPPP1P/RN1QKBNR b KQkq - 0 3,1,4,2,5,1349,1461,1,2,0,4,5,6,4,3,2,1,1,1,0,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,7,10,7,7,7,7,0,7,8,9,0,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,4,4,4,3,1914,1855,0,2,3,4,5,6,4,3,2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,7,7,7,7,0,7,7,7,8,9,10,11,12,10,0,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
q4bnr/4kp1p/p3p1p1/3p1b2/3P4/2N5/PPP2PPP/R1BQ1RK1 w - - 0 12,1,8,5,3,1058,998,0,5,0,0,0,0,4,3,2,0,0,0,0,6,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,7,7,7,0,0,7,7,7,8,0,10,11,0,8,12,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,4,4,4,3,1674,1629,1,2,3,4,5,6,4,3,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
r2r2k1/1p4pp/4p3/2P5/5Q2/P6P/1B4P1/4n1K1 w - - 3 28,8,7,3,2,1805,1742,0,2,0,0,2,0,0,6,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,0,7,0,10,0,0,0,0,7,0,0,0,0,0,3,0,12,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
1r3r1k/p5p1/1q1PQ2p/8/8/P4R2/1P4P1/5R1K w - - 1 34,7,2,3,1,2052,2043,0,0,2,0,0,0,2,0,6,1,0,0,0,0,0,1,0,0,5,0,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,8,0,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
r2qkb1r/ppp3pp/2n5/3p1p1b/3P4/2P1PN1P/P3BPP1/R1BQ1RK1 b kq - 0 11,2,13,3,5,1363,1321,1,2,0,0,5,6,4,0,2,1,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,7,0,0,0,0,0,0,7,0,7,9,0,7,7,0,0,0,10,7,7,0,8,0,10,11,0,8,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
r4rk1/ppp1npp1/7p/2b1p3/8/2PP1B2/PP4PP/2KR3R b - - 2 21,3,2,3,3,1572,1567,1,2,0,0,0,0,2,6,0,1,1,1,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,0,7,7,0,0,0,0,7,7,0,0,12,8,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0
r4rk1/2qn1pp1/2p1p2p/p2p1P2/3P4/2PQ1N1P/PP4Pb/R4RK1 w - - 0 18,8,2,4,4,2025,1994,0,2,0,0,0,0,2,6,0,0,0,5,3,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,7,0,0,0,0,0,7,0,0,0,0,0,0,7,11,0,9,0,7,7,7,0,0,0,0,7,4,8,0,0,0,0,8,12,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,4,1,2,0,1385,1420,1,2,3,4,5,6,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
2r2rk1/pp1q1pp1/2nb1n1p/2p1pN2/3pP3/2PP1NPb/PPQ2P1P/R1B1R1KB b - - 1 14,2,2,5,6,2351,2329,1,0,0,2,0,0,2,6,0,1,1,0,5,0,1,1,0,0,0,3,4,0,3,0,1,0,0,1,0,1,9,0,0,0,0,0,1,7,0,0,0,0,0,7,7,0,9,7,4,7,7,11,0,0,7,0,7,8,0,10,0,8,0,12,10,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0
rnbqkbnr/ppp1pppp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,10,7,3,3,1856,1900,0,2,3,4,5,6,4,3,2,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,7,7,7,8,9,10,11,12,10,9,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
r1bqkbnr/pp2nppp/8/4p3/3pP3/1BP2N2/PP3PPP/RNBQK2R b KQkq - 2 7,10,10,4,4,2082,2067,1,2,0,4,5,6,4,3,2,1,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,10,7,0,0,9,0,0,7,7,0,0,0,7,7,7,8,9,10,11,12,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0
r3r1k1/1pp2pb1/p4q2/1PpP4/4P1R1/3B1N2/PP1Q1PP1/1K5R b - - 0 22,7,13,6,3,1829,1819,1,2,0,0,0,2,0,6,0,0,1,1,0,0,1,4,0,1,0,0,0,0,5,0,0,0,7,1,7,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,10,0,9,0,0,7,7,0,11,0,7,7,0,0,12,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,1,1,0,0,1075,956,1,2,3,4,5,6,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,8,9,10,11,12,10,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
r4r2/2p3kp/1p1p4/3Pp2P/p1P1n3/6N1/PPK5/2R5 b - - 1 26,11,19,3,4,1530,1562,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,6,1,0,1,0,1,0,0,0,0,0,0,0,7,1,0,0,7,1,0,7,0,3,0,0,0,0,0,0,0,0,0,9,0,7,7,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0
